page,tag,text,x0,x1,top,doctop,bottom,upright,direction
0,,RÈGLEMENT,310.99,397.34799999999996,60.548400000000015,60.548400000000015,74.58839999999998,True,1
0,,1253,400.78,431.26696,60.548400000000015,60.548400000000015,74.58839999999998,True,1
0,,décrétant,229.13,275.03432,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,un,279.50552,291.782,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,emprunt,296.17592,336.42776,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,de,340.89896,353.03192,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,2,357.55,363.68824,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,700,368.11,386.48828000000003,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,000$,390.94,415.43824,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,pour,419.85424,441.91216,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,la,446.36128,454.8952,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,réalisation,459.18976,509.23407999999995,88.85839999999996,88.85839999999996,99.89839999999992,True,1
0,,de,229.13,241.40648,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,travaux,245.67896,281.66936,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,de,285.91,298.18648,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,réfection,302.45896000000005,344.69800000000004,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,de,348.73864000000003,361.01512,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,la,365.2876,373.82152,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,rue,377.99464,393.98055999999997,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,"Rolland,",398.25304,438.64912,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,y,442.88847999999996,448.40847999999994,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,compris,452.59263999999996,491.12224,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,les,495.28432,509.3382399999999,101.57839999999999,101.57839999999999,112.61839999999995,True,1
0,,conduites,229.13,276.30391999999995,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,"d’aqueduc,",279.37304,333.22615999999994,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,d’égout,336.2732,372.2084,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,sanitaire,375.36583999999993,416.89832,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,et,419.96744,429.1748,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,pluvial,432.23287999999997,463.25527999999997,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,et,466.42,475.62736,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,le,478.77376000000004,487.30768,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,mur,490.28848,509.33248,114.17840000000001,114.17840000000001,125.21839999999997,True,1
0,,de,229.13,241.40648,126.89840000000004,126.89840000000004,137.9384,True,1
0,,"soutènement,",250.48136,317.17912,126.89840000000004,126.89840000000004,137.9384,True,1
0,,incluant,326.22088,363.96664,126.89840000000004,126.89840000000004,137.9384,True,1
0,,le,373.1188,381.65272,126.89840000000004,126.89840000000004,137.9384,True,1
0,,coût,390.6172,411.32824,126.89840000000004,126.89840000000004,137.9384,True,1
0,,des,420.37,438.13336,126.89840000000004,126.89840000000004,137.9384,True,1
0,,"travaux,",447.11992,486.058,126.89840000000004,126.89840000000004,137.9384,True,1
0,,les,495.21016,509.26408,126.89840000000004,126.89840000000004,137.9384,True,1
0,,honoraires,229.13,281.21671999999995,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,professionnels,286.35032,357.1828,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,pour,362.35,384.40792,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,la,389.58568,398.1196,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,"surveillance,",403.18,464.22015999999996,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,les,469.42,483.47392,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,frais,488.48608,509.35168,139.49839999999995,139.49839999999995,150.5383999999999,True,1
0,,"inhérents,",229.13,277.55143999999996,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,les,282.31,296.36392,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,"taxes,",300.89032,330.24568,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,les,334.94872,349.00264,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,imprévus,353.52904,398.17479999999995,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,et,402.82264,412.03,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,pour,416.73303999999996,438.7909599999999,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,autoriser,443.48295999999993,486.17463999999995,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,une,490.86663999999996,509.24824,152.09839999999997,152.09839999999997,163.13839999999993,True,1
0,,dépense,229.13,271.41319999999996,164.8184,164.8184,175.85839999999996,True,1
0,,ne,274.49336,286.76984,164.8184,164.8184,175.85839999999996,True,1
0,,devant,289.84999999999997,322.8044,164.8184,164.8184,175.85839999999996,True,1
0,,pas,325.85143999999997,343.61479999999995,164.8184,164.8184,175.85839999999996,True,1
0,,excéder,346.61767999999995,385.71031999999997,164.8184,164.8184,175.85839999999996,True,1
0,,2,388.9,395.03824,164.8184,164.8184,175.85839999999996,True,1
0,,700,398.14,416.51828,164.8184,164.8184,175.85839999999996,True,1
0,,000$,419.5,443.99824,164.8184,164.8184,175.85839999999996,True,1
0,,Séance,87.744,125.10336,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,ordinaire,128.29391999999999,171.01871999999997,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,du,174.23136,186.50784,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,conseil,189.65,223.78567999999999,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,"municipal,",226.95415999999997,276.44647999999995,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,tenue,279.60391999999996,307.23704,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,publiquement,310.30616,376.22599999999994,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,le,379.49384,388.02775999999994,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,15,391.3,403.57648,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,janvier,406.53520000000003,438.89344,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,2018,442.15024,466.52656,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,à,469.78,475.91823999999997,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,20,478.99839999999995,491.27487999999994,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,"h,",494.38,503.44383999999997,203.21839999999997,203.21839999999997,214.25839999999994,True,1
0,,dans,87.744,111.64559999999999,215.9384,215.9384,226.97839999999997,True,1
0,,la,115.10112,123.63504,215.9384,215.9384,226.97839999999997,True,1
0,,salle,127.09056000000001,149.54592,215.9384,215.9384,226.97839999999997,True,1
0,,du,153.00144,165.27792,215.9384,215.9384,226.97839999999997,True,1
0,,conseil,168.77,202.90568,215.9384,215.9384,226.97839999999997,True,1
0,,municipal,206.21,252.69896,215.9384,215.9384,226.97839999999997,True,1
0,,située,256.11032,285.52088,215.9384,215.9384,226.97839999999997,True,1
0,,au,288.84391999999997,301.12039999999996,215.9384,215.9384,226.97839999999997,True,1
0,,"1386,",304.55384,331.98823999999996,215.9384,215.9384,226.97839999999997,True,1
0,,rue,335.47,351.45592000000005,215.9384,215.9384,226.97839999999997,True,1
0,,"Dumouchel,",354.76792,413.51176,215.9384,215.9384,226.97839999999997,True,1
0,,"Sainte-Adèle,",416.91208,482.82592,215.9384,215.9384,226.97839999999997,True,1
0,,lieu,486.3256,503.39344,215.9384,215.9384,226.97839999999997,True,1
0,,ordinaire,87.744,130.59024,228.53840000000002,228.53840000000002,239.5784,True,1
0,,des,133.65936,151.45584,228.53840000000002,228.53840000000002,239.5784,True,1
0,,séances,154.44768,195.49439999999998,228.53840000000002,228.53840000000002,239.5784,True,1
0,,à,198.48623999999995,204.62447999999995,228.53840000000002,228.53840000000002,239.5784,True,1
0,,laquelle,207.69359999999995,245.52767999999995,228.53840000000002,228.53840000000002,239.5784,True,1
0,,étaient,248.59679999999994,281.57327999999995,228.53840000000002,228.53840000000002,239.5784,True,1
0,,présents,284.73071999999996,326.83727999999996,228.53840000000002,228.53840000000002,239.5784,True,1
0,,messieurs,329.95,380.22567999999995,228.53840000000002,228.53840000000002,239.5784,True,1
0,,les,383.21752,397.27144,228.53840000000002,228.53840000000002,239.5784,True,1
0,,conseillers,400.42,452.23071999999996,228.53840000000002,228.53840000000002,239.5784,True,1
0,,Pierre,87.744,117.14352,253.85839999999996,253.85839999999996,264.8983999999999,True,1
0,,Lafond,120.21264,153.86255999999997,253.85839999999996,253.85839999999996,264.8983999999999,True,1
0,,District,257.57,291.20888,253.85839999999996,253.85839999999996,264.8983999999999,True,1
0,,1,294.36632,300.50455999999997,253.85839999999996,253.85839999999996,264.8983999999999,True,1
0,,Roch,87.744,113.45616,266.4584,266.4584,277.49839999999995,True,1
0,,Bédard,116.53632,152.052,266.4584,266.4584,277.49839999999995,True,1
0,,District,257.57,291.20888,266.4584,266.4584,277.49839999999995,True,1
0,,2,294.36632,300.50455999999997,266.4584,266.4584,277.49839999999995,True,1
0,,Robert,87.744,120.78672,279.2084,279.2084,290.24839999999995,True,1
0,,Bélisle,123.96624,156.25824,279.2084,279.2084,290.24839999999995,True,1
0,,District,257.57,291.20888,279.2084,279.2084,290.24839999999995,True,1
0,,3,294.36632,300.50455999999997,279.2084,279.2084,290.24839999999995,True,1
0,,Martin,87.744,118.22543999999999,291.8084,291.8084,302.84839999999997,True,1
0,,Jolicoeur,121.29455999999999,165.34416,291.8084,291.8084,302.84839999999997,True,1
0,,District,257.57,291.20888,291.8084,291.8084,302.84839999999997,True,1
0,,4,294.36632,300.50455999999997,291.8084,291.8084,302.84839999999997,True,1
0,,Frédérike,87.744,134.31072,304.40840000000003,304.40840000000003,315.4484,True,1
0,,Cavezzali,137.42,184.8368,304.40840000000003,304.40840000000003,315.4484,True,1
0,,District,257.57,291.20888,304.40840000000003,304.40840000000003,315.4484,True,1
0,,5,294.36632,300.50455999999997,304.40840000000003,304.40840000000003,315.4484,True,1
0,,Céline,87.744,118.85471999999999,317.12840000000006,317.12840000000006,328.1684,True,1
0,,Doré,121.93487999999999,145.80336,317.12840000000006,317.12840000000006,328.1684,True,1
0,,District,257.57,291.20888,317.12840000000006,317.12840000000006,328.1684,True,1
0,,6,294.36632,300.50455999999997,317.12840000000006,317.12840000000006,328.1684,True,1
0,,sous,87.744,111.02736,342.4484,342.4484,353.48839999999996,True,1
0,,la,114.14064,122.67456,342.4484,342.4484,353.48839999999996,True,1
0,,présidence,125.74368,179.56367999999998,342.4484,342.4484,353.48839999999996,True,1
0,,de,182.64383999999998,194.92031999999998,342.4484,342.4484,353.48839999999996,True,1
0,,madame,197.93,240.7652,342.4484,342.4484,353.48839999999996,True,1
